question,option1,option2,option3,option4,answer
" 「人材版伊藤レポート」（「人的資本経営の実現に向けた検討会報告書」（経済産業省、2022
年）および「持続的な企業価値の向上と人的資本に関する研究会報告書」（経済産業省、
2020年））で示された、企業の変革の方向性に関する次の記述のうち、最も適切なものは
どれか。
",人材は「人的資源」として捉え、「いかにその使用・消費を管理するか」という考え方で, 新卒一括採用、終身雇用、年功序列型賃金に代表される日本型の雇用慣行、人材戦略を再,"企業は、いつでも、どこでも働くことができる環境を整えることが、事業継続の観点から
も必要とされている。","イノベーション創出を含めた自社の競争優位性を強化する観点や、働き手の専門性や意識
面の観点から、メンバーシップ型からジョブ型へ早期に完全移行することが求められてい
る。",3
" 「暮らしと意識に関する NHK・JILPT 共同調査（一次集計）結果の概要」（日本放送協
会、独立行政法人労働政策研究･研修機構、2022年）で示された、人々の暮らし向きの様
子・中流に関するイメージ・社会に関する考え方等についての次の記述のうち、最も適切
なものはどれか。
"," イメージする「中流の暮らし」を送るのに必要な年収は、無配偶者の方が有配偶者よりも
多い傾向にある。","イメージする「中流の暮らし」にあてはまる条件として最も多いのは「世帯主が正社員と
して働いている」である。"," 将来の暮らし向きの見通しについて、「今の暮らし向きは良くなる」と答えた人の比率は、
「今の暮らし向きを維持できる」と答えた人の比率や「今より暮らし向きは悪くなる」と
答えた人の比率よりも高い。","「日本では、努力さえすれば誰でも豊かになることができると思うか」という質問につい
て、「強く思う」「どちらかと言うと思う」と答えた人は、「どちらかと言うとそう思わない」
「全く思わない」と答えた人より多い。",2
" 「令和4年版労働経済の分析」（厚生労働省）で述べられた、キャリアコンサルティング
が労働者のキャリア形成意識やキャリア形成に及ぼす影響に関する次の記述のうち、
適切なものはどれか。
","雇用形態別にキャリアコンサルティングを受けた経験がある者の割合をみると、正社員の
ほうが、契約社員・派遣社員よりもキャリアコンサルティングを経験した割合が明らかに
高い。","キャリアコンサルティングを受けた経験がある者の方が、「自分で職業生活設計を考えて
いきたい」、「どちらかといえば、自分で職業生活設計を考えていきたい」と回答する割合
が高くなっている。","現在の仕事内容や職業生活全般への満足度は、キャリアコンサルティングを受けた経験の
有無にかかわらず、ほぼ同じである。","キャリアコンサルティングを受けた経験がある者よりも、経験がない者のほうが自分の職
業能力が他社で通用すると考えている割合が高い。",2
" ホランド（Holland, J. L.）の理論に関する次の記述のうち、適切なものはどれか。","ホランドはアメリカの職業心理学者で、青少年や成人に支援を行った経験に基づいた、ラ
イフ・キャリア・レインボー理論を提唱した。",ホランドは、個人と環境はいずれも6つのタイプに分類されると主張している。,"ホランドの6領域は、現実的領域（Realistic）、研究的領域（Investigative）、芸術的領域
（Artistic）、社会的領域（Social）、企業的領域（Enterprising）、保守的領域（Conservative）
である。"," ホランドの6領域に基づいた代表的なキャリア・アセスメントツールとして、厚生労働省
編一般職業適性検査[進路指導・職業指導用]（GATB）が挙げられる。",2
" 多文化・社会正義論に関する次の記述のうち、最も適切なものはどれか。
","ブルースティン（Blustein, D. L.）は、キャリア支援で最も重要な要因は「社会階層」で
あるとした。","サビカス（Savickas, M. L.）は、キャリア支援で使用されるアセスメントは、暗黙にアメ
リカ白人の主流文化を前提としていると批判し、異文化キャリアアセスメント論を主張し
た。","クランボルツ（Krumboltz, J. D.）が提唱した社会正義に関するキャリアガイダンス論の
枠組みのひとつに「キャリアガイダンスの4つのイデオロギー」がある。"," バンデューラ（Bandura, A.）は、文化やアイデンティティに配慮した4つの領域からな
る「文化を取り入れたキャリアカウンセリングモデル（Culture-Infused Career
Counseling: CICC）」を提唱した。",1
" ジェラット（Gelatt, H. B.）の意思決定理論に関する次の記述のうち、不適切なものはど
れか。","教育現場におけるガイダンスの際の枠組み構築を目的として、意思決定論的アプローチの
立場からキャリア発達における意思決定の仕方を提供するための理論を展開した。","「予測システム」、「価値システム」、「経験システム」、「決定システム」の4段階からなる
連続的意思決定プロセスを提唱した。","探索的意思決定を繰り返し、最終決定へ至ることもあるが、現代のような変化の激しい時
代においては最終決定はあり得ないとも考えた。","客観的で合理的な戦略（左脳）だけでなく、主観的で直感的な戦略（右脳）を統合する「積
極的不確実性（Positive Uncertainty）」の概念を中心とした意思決定の枠組みを提示し
た。",2
" キャリアの理論に関する次の記述のうち、最も適切なものはどれか。
","ブリッジズ（Bridges, W.）は、個人の状況、自己、周囲の援助、戦略、といった事柄が、
個人が転機を乗り越える能力に影響を及ぼしていると考え、カウンセリングのプロセスを
通じてこれらを整理しようとした。"," シュロスバーグ（Schlossberg, N. K.）は、転機とは何らかの出来事が起こったことを指
し、そこには予期していた出来事と予期していなかった出来事の2つに大別できると考え
た。","ジェラット（Gelatt, H. B.）は、変化の激しい環境下での転機に対処するために、「連続的
意思決定理論」を主要概念とする新たな意思決定の枠組みを提示した。","サビカス（Savickas, M. L.）は、安定性から機動性へと働き方が変わりつつある状況を考
察し、変化を常態とするキャリア構築の概念として、キャリア・アダプタビリティを提唱
した。",4
 防衛機制に関する次の記述のうち、最も適切なものはどれか。,何かもっともらしい理屈をつけて自己を正当化しようとすることを、合理化という。,"抑圧された欲求や衝動が、社会的、文化的に承認される価値のある好ましい活動となって
発現することを、補償という。","自分のほうに持っている社会的に望ましくない感情を、相手のほうが持っていることにし
て責任を転嫁することを、同一視という。","ある対象の考え方や感情、行動などを無意識に取り入れ、その対象と同じような傾向を示
すことを、反動形成という。",1
 精神分析療法に関する次の記述のうち、最も不適切なものはどれか。,"自由連想法とは、クライエントになんでも頭に浮かぶことをありのままに話させる方法で、
カウンセラーは話が進むように非指示的に援助をする。","抑圧された欲求をクライエントが意識化する過程で示した抵抗の原因を分析し、抑圧や防
衛機制のあり方を明らかにすることを抵抗分析という。","クライエントが、以前自分にとって重要な人物に抱いた感情を無意識にカウンセラーに向
けることを逆転移という。",抑圧されていた感情体験が解放されることをカタルシス効果という。,3
 カウンセリングの理論や心理療法に関する次の記述のうち、最も適切なものはどれか。,"スキナー（Skinner, B. F.）は、人々が示す問題行動は個人に対する社会のコントロールの
副産物であるとして、行動理論に基づく心理療法を打ち立てた。","森田療法は、森田正馬が身調べという宗教的修行法を現代化した内観法がもととなってい
る。","パールズ（Perls, F. S.）により提唱された交流分析は、ゲーム分析、脚本分析などを含む
心理療法である。","エンプティー・チェア・テクニック、ホットシート、未完の行為などは、ロジャーズ（Rogers,
C. R.）が提唱した来談者中心療法の技法である。",1
" 「第 11 次職業能力開発基本計画」（厚生労働省、令和 3 年 3 月）の「職業能力開発の
方向性と基本的施策」に関する次の記述のうち、不適切なものはどれか。","労働者の主体的な職業能力開発を支援するため、人材開発支援助成金において、関係省庁
とも連携しつつ、IT分野についても講座の充実に努める。","企業内において高度な IT 人材の育成に係る訓練を実施した場合に、人材開発支援助成金
において訓練経費等を助成することにより、高度なIT人材の育成を促進する。","個々の企業・業界のニーズに即した人材育成のため、人材開発支援助成金により訓練経費
等を助成し、企業内又は業界単位での職業訓練の実施を促進する。","在職者が自発的な学び直しのための時間を確保できるよう、新たに教育訓練休暇を導入・
適用する企業に対して人材開発支援助成金により経費等を助成すること等により、教育訓
練休暇や教育訓練短時間勤務制度の普及を促進する。",1
